Order_ID,Order_Date,Customer_ID,Reseller,Seller,State,Product,Category,Payment_Mode,Order_Value,Delivery_Days,Returned,Return_Reason,Product_Views,Added_to_Cart,Purchased,Rating
ORD_00001,15-01-2024,CUST_13,Reseller_4,Seller_9,Tamil Nadu,Men's Jeans,Fashion,COD,3667.47,6,FALSE,,80,78,1,3.4
ORD_00002,17-02-2024,CUST_461,Reseller_4,Seller_10,Delhi,Casual Shirt,Home Decor,COD,3082.73,8,FALSE,,83,65,1,4.9
ORD_00003,26-06-2024,CUST_142,Reseller_10,Seller_5,Tamil Nadu,Mobile Stand,Home Decor,Prepaid,517.21,9,FALSE,,99,86,1,4.3
ORD_00004,15-02-2024,CUST_31,Reseller_6,Seller_5,Delhi,Hand Blender,Beauty,COD,452.58,8,FALSE,,34,26,1,4
ORD_00005,28-01-2024,CUST_112,Reseller_7,Seller_8,Uttar Pradesh,Ceiling Lamp,Fashion,COD,3280.59,3,TRUE,Late Delivery,79,59,1,2.9
ORD_00006,01-01-2024,CUST_77,Reseller_2,Seller_2,Delhi,Ceiling Lamp,Beauty,COD,3678.59,9,TRUE,Late Delivery,84,64,1,2.9
ORD_00007,21-04-2024,CUST_395,Reseller_5,Seller_5,Karnataka,Bluetooth Earbuds,Electronics,Prepaid,2937.01,10,FALSE,,63,48,1,2.6
ORD_00008,23-06-2024,CUST_479,Reseller_8,Seller_9,Delhi,Bluetooth Speaker,Fashion,COD,3492.92,9,TRUE,No Return,46,36,1,4.7
ORD_00009,14-06-2024,CUST_390,Reseller_3,Seller_1,Karnataka,Yoga Mat,Electronics,COD,4810.49,3,FALSE,,99,90,1,4
ORD_00010,04-05-2024,CUST_323,Reseller_2,Seller_9,Tamil Nadu,Flower Vase,Home Decor,Prepaid,1599.52,8,FALSE,,89,78,1,4.3
ORD_00011,13-06-2024,CUST_200,Reseller_5,Seller_4,Delhi,Lipstick Set,Electronics,COD,3640.73,11,FALSE,,9,0,0,2.6
ORD_00012,27-04-2024,CUST_109,Reseller_15,Seller_9,Delhi,Yoga Mat,Electronics,COD,421.86,2,FALSE,,84,68,1,4.9
ORD_00013,12-01-2024,CUST_10,Reseller_19,Seller_3,Maharashtra,Wall Shelf,Kitchen,Prepaid,328.86,4,FALSE,,61,42,1,4.6
ORD_00014,28-01-2024,CUST_88,Reseller_6,Seller_1,Delhi,LED Strip Light,Home Decor,Prepaid,4130.59,3,FALSE,,76,74,1,3
ORD_00015,24-03-2024,CUST_378,Reseller_20,Seller_10,Maharashtra,Mobile Stand,Electronics,COD,1132.81,7,FALSE,,87,75,1,3
ORD_00016,11-03-2024,CUST_172,Reseller_5,Seller_9,Karnataka,Mobile Stand,Kitchen,Prepaid,3996.54,2,FALSE,,9,6,1,3
ORD_00017,06-04-2024,CUST_406,Reseller_12,Seller_3,Uttar Pradesh,Nail Paint Kit,Electronics,COD,1331.68,11,TRUE,Size Issue,81,62,1,3.3
ORD_00018,26-06-2024,CUST_304,Reseller_16,Seller_1,Delhi,Fruit Basket,Home Decor,COD,1020.15,3,FALSE,,37,24,1,3.8
ORD_00019,01-06-2024,CUST_90,Reseller_7,Seller_3,Maharashtra,Fruit Basket,Electronics,Prepaid,2686.97,8,FALSE,,79,78,1,3.6
ORD_00020,02-04-2024,CUST_272,Reseller_3,Seller_10,Karnataka,Smart Watch,Electronics,COD,172.16,5,FALSE,,13,0,0,3.2
ORD_00021,07-05-2024,CUST_408,Reseller_8,Seller_9,Tamil Nadu,Face Roller,Kitchen,Prepaid,3347.74,6,TRUE,Size Issue,20,5,1,4
ORD_00022,12-01-2024,CUST_456,Reseller_2,Seller_1,Karnataka,Smart Watch,Home Decor,COD,2258.16,7,FALSE,,98,84,1,2.8
ORD_00023,28-05-2024,CUST_370,Reseller_6,Seller_9,Maharashtra,Bedsheet Double,Fashion,Prepaid,2502.55,3,TRUE,Damaged,57,39,1,3.2
ORD_00024,26-02-2024,CUST_212,Reseller_11,Seller_4,Maharashtra,Choker Necklace,Electronics,Prepaid,1731.74,3,FALSE,,26,14,1,3.4
ORD_00025,27-04-2024,CUST_199,Reseller_16,Seller_10,Delhi,Non-Stick Pan,Electronics,Prepaid,852.97,11,FALSE,,48,44,1,3.6
ORD_00026,17-04-2024,CUST_57,Reseller_9,Seller_6,Maharashtra,Hair Straightener,Home Decor,COD,305.66,11,TRUE,Damaged,60,46,1,4.5
ORD_00027,23-01-2024,CUST_296,Reseller_10,Seller_4,Uttar Pradesh,T-shirt Combo,Beauty,COD,4003.64,11,FALSE,,71,64,1,3
ORD_00028,24-03-2024,CUST_377,Reseller_7,Seller_8,Uttar Pradesh,Men's Jeans,Kitchen,COD,2394.4,2,FALSE,,32,25,1,3.8
ORD_00029,09-01-2024,CUST_21,Reseller_19,Seller_4,Maharashtra,Raincoat,Kitchen,Prepaid,4506.52,8,FALSE,,61,45,1,4
ORD_00030,25-02-2024,CUST_355,Reseller_16,Seller_7,Delhi,Raincoat,Kitchen,COD,1316.48,10,FALSE,,94,81,1,2.6
ORD_00031,07-01-2024,CUST_440,Reseller_8,Seller_5,Delhi,Pressure Cooker,Beauty,COD,3394.82,4,FALSE,,74,56,1,4
ORD_00032,08-04-2024,CUST_1,Reseller_13,Seller_3,Maharashtra,Wireless Mouse,Electronics,Prepaid,1946.54,9,FALSE,,81,79,1,2.9
ORD_00033,07-06-2024,CUST_407,Reseller_2,Seller_9,Karnataka,Cosmetic Pouch,Beauty,COD,1458.48,11,FALSE,,27,25,1,2.7
ORD_00034,29-06-2024,CUST_90,Reseller_12,Seller_9,Delhi,Face Wash,Fashion,COD,1923.12,11,TRUE,Wrong Item,83,66,1,4.9
ORD_00035,27-02-2024,CUST_386,Reseller_5,Seller_4,Karnataka,Non-Stick Pan,Kitchen,COD,700.75,9,FALSE,,75,69,1,4.9
ORD_00036,30-04-2024,CUST_257,Reseller_17,Seller_5,Tamil Nadu,Choker Necklace,Beauty,COD,457.34,7,FALSE,,68,65,1,4.5
ORD_00037,21-01-2024,CUST_453,Reseller_10,Seller_9,Tamil Nadu,Rice Container,Kitchen,Prepaid,4029.53,3,FALSE,,59,57,1,3.3
